Ticker,Company Name,Sector,Industry,RS_Rating,Long_Score,Last Close,Price as a % of 52 Wk H-L Range,Market Cap (mil)
SEZL,Sezzle Inc.,Business Services,Financial Transaction Services,98,92.65,156.47,80.42,5261.62
VICR,Vicor,Computer and Technology,Electronics - Miscellaneous Components,98,89.5,365.53,100.0,16661.37
SNEX,StoneX Group,Finance,Financial - Miscellaneous Services,95,88.6,138.79,99.74,10999.31
DAVE,DAVE INC,Business Services,Technology Services,90,88.25,309.72,97.02,3937.86
CECO,CECO Environmental,Industrial Products,Pollution Control,90,85.85,99.67,100.0,3575.47
NVT,nVent Electric,Computer and Technology,Electronics - Miscellaneous Components,90,85.25,184.34,100.0,29811.55
MRX,Marex Group PLC,Finance,Financial - Miscellaneous Services,90,85.25,65.3,100.0,4762.82
VIRT,Virtu Financial,Finance,Financial - Miscellaneous Services,90,85.25,62.11,96.87,9632.41
PTRN,Pattern Group Inc.,Retail-Wholesale,Internet - Commerce,90,84.5,21.02,97.11,3261.54
